seed,num_hid_layers,train_loss,hold_loss
0,1,0.004001618597860694,0.0028261816096050506
1,1,0.0030997521381608533,0.0024798289936365536
2,1,0.003254067101526642,0.0025233868231711734
3,1,0.003184690570487788,0.002353007334817358
4,1,0.0033020264661670026,0.0025188077835539705
5,1,0.0025945754490123794,0.00204855725381021
6,1,0.0031111156393535603,0.002555603300903275
7,1,0.002860632492928188,0.0025121783276586653
8,1,0.0029788525218605293,0.002736554585851369
0,2,0.003529084933772587,0.002286365561416664
1,2,0.0029665748535533665,0.0023412385966128436
2,2,0.0026742097331715984,0.002037407110232249
3,2,0.0030592432709929188,0.002550665777291382
4,2,0.003487993359204965,0.002504395344791467
5,2,0.0028225208822420514,0.0020257637913598373
6,2,0.002562946401011408,0.0022814653982405637
7,2,0.0026904446793674214,0.002189596143332704
8,2,0.003184035419039244,0.0025116921002803394
0,3,0.003165039315004657,0.002132037684047327
1,3,0.003282565229218314,0.002367344931720472
2,3,0.003094084061916006,0.0022490656394119216
3,3,0.0030997481549758263,0.002392267328988954
4,3,0.0028891567024791525,0.002032190493427019
5,3,0.0030304442156151978,0.0021031063541445813
6,3,0.0033346141897126116,0.0022247467274179884
7,3,0.002599708478104016,0.0020759549467663147
8,3,0.0029281466208524874,0.001856611061104317
0,4,0.0036953543268739056,0.0023935130559808618
1,4,0.0026205007158659364,0.0019130524192310751
2,4,0.0029366779695561233,0.002198111411579301
3,4,0.0023183015737513447,0.0019290510082341126
4,4,0.0032759483252914243,0.002243880267620145
5,4,0.0026755236059118853,0.0019845369242408994
6,4,0.0023592377474388423,0.0020815802815624717
7,4,0.003170922667144702,0.002230609277472097
8,4,0.0032533421047059702,0.002258487571343051
0,5,0.004337116322073798,0.0026877145512010305
1,5,0.004086693561805074,0.002626959002511215
2,5,0.0040163354288021095,0.0025002331117211334
3,5,0.0034108421669786036,0.0022947260987360918
4,5,0.004490481900334539,0.002694555492411495
5,5,0.0030873926780883693,0.0021455798034968696
6,5,0.0036209790835796465,0.002320578451261192
7,5,0.003472197991193232,0.002403754205957245
8,5,0.0035975701157641257,0.0023538357487894947
0,6,0.0051031616919724205,0.0030207064455903365
1,6,0.00369126966090466,0.0024349247979814394
2,6,0.004562368343856307,0.0025957081838970113
3,6,0.007555810444391688,0.003607182262217901
4,6,0.006847455529096014,0.003362969280370582
5,6,0.0039032015265090163,0.002540785121387206
6,6,0.004348852352458727,0.002693850867391756
7,6,0.005503035173730671,0.002948273569412932
8,6,0.00753239430382942,0.0036006293348999274
