seed,dropout_prob,train_loss,hold_loss
0,0.0,0.003055752657512755,0.007739867462901838
1,0.0,0.002705899264273543,0.004316092985416686
2,0.0,0.003101711930599133,0.0049046064801989316
3,0.0,0.0029634884439820063,0.007992055053654185
4,0.0,0.0032331893492004724,0.005253960914294714
5,0.0,0.0028812153098026,0.007785982435206107
6,0.0,0.0029787677341698193,0.0046162944140548876
7,0.0,0.0030253890783977404,0.005479375407830395
8,0.0,0.002903532581768,0.005660520411767211
0,0.0001,0.002745728341541759,0.003067316996781284
1,0.0001,0.0027208563791355635,0.0029379430499543355
2,0.0001,0.0029230271177011174,0.003191529226837793
3,0.0001,0.0027272663368683326,0.0021861614738800574
4,0.0001,0.0026260709423252993,0.002694989577775396
5,0.0001,0.002922586308084342,0.0023008847753615068
6,0.0001,0.002553212806727223,0.0027506146458425858
7,0.0001,0.002691386625973716,0.0022869767008611664
8,0.0001,0.002576476695987225,0.003656565774471736
0,0.0005,0.0027114376899848394,0.0022260938715493936
1,0.0005,0.0022979880910904164,0.0017307859810086344
2,0.0005,0.003513960481871107,0.0028448365954251557
3,0.0005,0.0026247508659577494,0.0021564691320364094
4,0.0005,0.0024850942026859494,0.0025033678223309896
5,0.0005,0.0023908956477862076,0.002410739764991113
6,0.0005,0.003092318096024593,0.002724861184300485
7,0.0005,0.0026534311372267906,0.002408851715691059
8,0.0005,0.0031689542850815502,0.002012586369706032
0,0.001,0.00313971210961922,0.00228831853666742
1,0.001,0.002826506338540808,0.0020147929098212405
2,0.001,0.002568396193170496,0.002113977438021856
3,0.001,0.002256199325497398,0.002010454319786508
4,0.001,0.0016225100691639645,0.0021226140814884524
5,0.001,0.00255389086845954,0.0025584845824575013
6,0.001,0.0027173839834342397,0.002270020567085784
7,0.001,0.003125007456687284,0.0023084610628998498
8,0.001,0.0032619223028554868,0.0023203167180134467
0,0.005,0.002491578325796602,0.002217048027424215
1,0.005,0.0030875285554508927,0.0022452751654891247
2,0.005,0.002559862928407474,0.002154914303931927
3,0.005,0.002346088979839906,0.00204857400126814
4,0.005,0.002619114148598446,0.001920158349773292
5,0.005,0.0029188541967624087,0.0022518270066069143
6,0.005,0.003298429365698705,0.002579280159509648
7,0.005,0.0029488830725249303,0.0021420817823938278
8,0.005,0.002563590576944401,0.0020473557867844716
0,0.01,0.004047968906214809,0.0027920275740671986
1,0.01,0.003386878072336829,0.0024224676245949922
2,0.01,0.002212877126550648,0.002305678057759321
3,0.01,0.003047307924533831,0.002327074717087512
4,0.01,0.002538012900775631,0.0020777838161357928
5,0.01,0.002608876970831867,0.0020387335588287828
6,0.01,0.003058337899821411,0.0024327159696771526
7,0.01,0.0032535249188573295,0.002378759640861625
8,0.01,0.0025281077711331243,0.001985468127563489
0,0.05,0.0036953543268739056,0.0023935130559808618
1,0.05,0.0026205007158659364,0.0019130524192310751
2,0.05,0.0029366779695561233,0.002198111411579301
3,0.05,0.0023183015737513447,0.0019290510082341126
4,0.05,0.0032759483252914243,0.002243880267620145
5,0.05,0.0026755236059118853,0.0019845369242408994
6,0.05,0.0023592377474388423,0.0020815802815624717
7,0.05,0.003170922667144702,0.002230609277472097
8,0.05,0.0032533421047059702,0.002258487571343051
0,0.1,0.0033535365731053725,0.002213521979709129
1,0.1,0.003066622868331839,0.002133652691876232
2,0.1,0.003177152754454457,0.002250735576582282
3,0.1,0.003096652959994667,0.0021107886290068685
4,0.1,0.0031349925194297658,0.002116881237436159
5,0.1,0.0029397044365297442,0.0021541328662452604
6,0.1,0.0028848969541966653,0.0020882277589055836
7,0.1,0.0028243980842842385,0.0019873291395030527
8,0.1,0.003331659546412362,0.002141535287547732
0,0.5,0.007303410404129167,0.0035181985369978864
1,0.5,0.007087797598809769,0.003497066477651386
2,0.5,0.007200000542325381,0.003534787151661226
3,0.5,0.007453359189868425,0.003567475110720785
4,0.5,0.007350301912529474,0.0035416836882522806
5,0.5,0.007346073570037178,0.0035930373569615613
6,0.5,0.0072647512214797545,0.003582824647660553
7,0.5,0.007354110728634701,0.0035738354350226213
8,0.5,0.0071557184607712295,0.003539716100918576
